Index,Date,Time,Longitude,Latitude,Magnitude,Depth,Location
73,2021-02-21,22:23:09,104.9,28.36,3,10,"Changning,Sichuan"
74,2021-02-22,3:35:55,114.47,41.16,3,13,"Zhangbei,Hebei"
75,2021-02-22,9:50:48,121.89,22.42,4.5,75,"CoastalareanearTaidong,Taiwan,China"
76,2021-02-22,22:57:24,83.61,41.21,3.6,10,"Kuche,Xinjiang"
77,2021-02-24,5:45:17,75.36,37.42,3.2,10,"Tashikuergan,Xinjiang"
78,2021-02-24,12:59:10,104.11,31.81,3.2,19,"Maoxian,Sichuan"
79,2021-02-25,11:47:34,76.46,40.16,3.2,34,"Atushi,Xinjiang"
80,2021-02-27,19:37:19,98.44,25.51,3.1,8,"Tengchong,Yunnan"
81,2021-02-28,4:03:44,86.75,29.07,3.1,10,"Dingri,Tibet"
82,2021-02-28,9:12:50,101.1,32.8,3.3,10,"Banma,Qinghai"
83,2021-02-28,10:31:26,76.26,38.43,3,17,"Aketao,Xinjiang"
84,2021-03-01,18:13:13,100,26,3.8,10,"Eryuan,Yunnan"
85,2021-03-02,1:44:36,104.56,32.14,3,14,"Pingwu,Sichuan"
86,2021-03-02,9:45:38,75.13,39.2,3.1,30,"Wuqia,Xinjiang"
87,2021-03-02,17:23:01,121.17,21.92,5.3,20,"CoastalareanearPingdong,Taiwan,China"
88,2021-03-04,3:47:17,78.61,40.75,3,10,"Keping,Xinjiang"
89,2021-03-04,22:03:54,75.86,37.61,3,79,"Tashikuergan,Xinjiang"
90,2021-03-04,22:24:57,122.36,24.75,4.3,10,"CoastalareanearYilan,Taiwan,China"
91,2021-03-05,1:57:33,80.32,34.17,4.2,10,"Ritu,Tibet"
92,2021-03-05,4:59:33,80.78,42.1,3.3,7,"Baicheng,Xinjiang"
93,2021-03-05,12:42:39,100.83,23.31,3,8,"Jinggu,Yunnan"
94,2021-03-05,16:53:23,127.87,41.81,3.1,25,"Fusong,Jilin"
95,2021-03-06,8:21:33,120.41,38,3,8,"CoastalareanearPenglai,Shandong"
96,2021-03-07,9:10:43,98.49,25.76,3,8,"Tengchong,Yunnan"
97,2021-03-07,19:13:31,111.28,33.42,3,7,"Xixia,Henan"
98,2021-03-09,22:53:58,74.98,39.49,3,11,"Wuqia,Xinjiang"
99,2021-03-11,2:18:06,110.23,39.08,3.2,0,"Shenmu,Shaanxi"
100,2021-03-12,3:30:17,83.47,41.27,3,10,"Kuche,Xinjiang"
101,2021-03-13,13:56:04,116.92,28.34,3.1,7,"Yujiang,Jiangxi"
102,2021-03-13,21:56:49,104.79,28.13,3,10,"Gongxian,Sichuan"
103,2021-03-13,23:41:00,81.84,44.35,3.5,8,"Jinghe,Xinjiang"
104,2021-03-14,18:26:00,81.11,41.95,4.5,22,"Baicheng,Xinjiang"
105,2021-03-14,20:20:05,83.35,41.22,3.7,18,"Kuche,Xinjiang"
106,2021-03-16,21:16:08,86.44,30.11,3.4,10,"Angren,Tibet"
107,2021-03-17,14:27:16,80.85,44.46,4.2,8,"Huocheng,Xinjiang"
108,2021-03-18,10:10:58,110.62,39.04,3.1,0,"Shenmu,Shaanxi"
109,2021-03-18,13:40:48,105.21,25.12,3,5,"Anlong,Guizhou"
110,2021-03-19,14:11:27,92.74,31.94,6.1,10,"Biru,Tibet"
111,2021-03-19,18:57:50,104.2,31.93,3.9,15,"Beichuan,Sichuan"
112,2021-03-20,2:04:11,92.89,31.94,3.2,10,"Biru,Tibet"
113,2021-03-20,15:25:40,105,28.06,3.3,12,"Weixin,Yunnan"
114,2021-03-20,23:30:25,83.49,34.7,4.7,10,"Gaize,Tibet"
115,2021-03-21,1:20:39,90.16,37.6,3,8,"Ruoqiang,Xinjiang"
116,2021-03-22,22:51:50,84.93,31.64,3.4,10,"Gaize,Tibet"
117,2021-03-23,1:23:35,92.89,31.93,4.2,10,"Biru,Tibet"
118,2021-03-23,3:21:11,104.79,28.44,3,10,"Changning,Sichuan"
119,2021-03-23,23:31:16,101.29,36.08,3.3,8,"Guide,Qinghai"
120,2021-03-24,5:14:17,81.11,41.7,5.4,10,"Baicheng,Xinjiang"
121,2021-03-24,8:04:36,81.06,41.79,3.4,11,"Baicheng,Xinjiang"
122,2021-03-24,21:14:14,81.01,41.8,3.4,15,"Baicheng,Xinjiang"
123,2021-03-26,8:18:30,91.23,35.26,4,10,"Zhidoi,Qinghai"
124,2021-03-26,9:28:56,84.63,43.97,3.1,9,"Wusu,Xinjiang"
125,2021-03-26,15:15:29,104.78,28.19,3.1,10,"Gongxian,Sichuan"
126,2021-03-27,3:02:03,92.71,27.54,4.8,25,"Cuona,Tibet"
127,2021-03-27,7:08:31,83.22,40.77,4.8,10,"Shaya,Xinjiang"
128,2021-03-27,14:32:56,91.08,34.82,3.2,10,"Zhidoi,Qinghai"
129,2021-03-28,1:24:12,89.75,35.47,4.1,10,"Zhidoi,Qinghai"
130,2021-03-28,12:32:59,83.3,41.16,3,10,"Kuche,Xinjiang"
131,2021-03-28,13:07:05,92.86,31.93,3,10,"Biru,Tibet"
132,2021-03-28,14:41:18,122.76,24.51,4.6,80,"CoastalareanearYilan,Taiwan,China"
133,2021-03-29,8:11:43,77.62,36.35,3.3,93,"Yecheng,Xinjiang"
134,2021-03-29,10:52:52,76.91,36.53,3.1,10,"Yecheng,Xinjiang"
135,2021-03-30,1:27:25,87.68,34.38,5.8,10,"Shuanghu,Tibet"
136,2021-04-01,14:57:09,87.76,34.34,3.9,10,"Shuanghu,Tibet"
137,2021-04-02,3:20:05,79,40.83,4.3,8,"Keping,Xinjiang"
138,2021-04-02,5:40:18,114.5,23.85,3.7,10,"Dongyuan,Guangdong"
139,2021-04-02,14:15:09,101.15,32.82,3.1,10,"Banma,Qinghai"
140,2021-04-02,15:55:52,89.51,35.55,4.4,10,"Andoi,Tibet"
141,2021-04-02,16:58:35,87.9,34.47,4.2,10,"Shuanghu,Tibet"
142,2021-04-02,19:39:39,89.38,35.53,3.2,10,"Andoi,Tibet"
143,2021-04-03,0:19:29,82.25,35.91,3,10,"Yutian,Xinjiang"
144,2021-04-03,19:21:30,87.67,34.34,3.6,10,"Shuanghu,Tibet"
145,2021-04-04,12:35:26,89.35,35.52,3.7,10,"Andoi,Tibet"
146,2021-04-05,4:09:46,75.89,36.79,3.8,10,"Tashkurgan,Xinjiang"
147,2021-04-05,9:28:38,81.24,41.96,3.4,10,"Baicheng,Xinjiang"
148,2021-04-05,17:23:19,91.23,41.26,3.7,8,"Shanshan,Xinjiang"
149,2021-04-07,5:48:37,92.84,31.89,4.7,10,"Biru,Tibet"
150,2021-04-07,5:55:49,92.85,31.87,4,10,"Biru,Tibet"
151,2021-04-07,21:19:35,121.6,23.81,4.2,20,"CoastalareanearHualian,Taiwan,China"
152,2021-04-08,3:25:48,111.7,36.28,3.1,10,"Hongdong,Shanxi"
153,2021-04-09,1:04:10,95.35,39.62,3.1,10,"Subei,Gansu"
154,2021-04-11,2:21:48,90.6,31.74,3.5,10,"Bange,Tibet"
155,2021-04-12,8:18:36,104.53,29.42,3.1,10,"Zigong,Sichuan"
156,2021-04-13,17:07:36,102.38,23.84,3.3,10,"Shiping,Yunnan"
157,2021-04-16,6:26:23,78.76,32.48,3.1,10,"Zhada,Tibet"
158,2021-04-16,16:06:06,118.71,39.75,4.3,9,"Luanzhou,Hebei"
159,2021-04-18,11:35:39,100.01,26.14,3.3,9,"Eryuan,Yunnan"
160,2021-04-18,22:11:39,121.53,23.92,5.6,7,"Hualian,Taiwan,China"
161,2021-04-18,22:14:39,121.43,23.94,6.1,5,"Hualian,Taiwan,China"
162,2021-04-19,19:13:23,90.79,34.69,3.5,10,"Tanggula,Qinghai"
163,2021-04-20,2:02:30,83.69,41.34,3.2,10,"Kuche,Xinjiang"
164,2021-04-21,21:28:24,89.62,29.8,4,24,"Nanmulin,Tibet"
165,2021-04-22,6:36:06,75.8,37.61,3.1,98,"kurgan,Xinjiang"
166,2021-04-24,18:10:56,85.95,42.95,3.1,10,"Hejing,Xinjiang"
167,2021-04-25,10:44:43,83.66,41.2,3,8,"Kuche,Xinjiang"
168,2021-04-25,23:11:21,125.64,42.96,3,8,"Dongfeng,Jilin"
169,2021-04-26,21:30:16,104.97,28.18,3.2,10,"Xingwen,Sichuan"
170,2021-04-27,13:16:58,75.78,37.45,3.9,100,"Tashkurgan,Xinjiang"
171,2021-04-27,19:43:18,89.8,35.59,4,8,"Zhidoi,Qinghai"
172,2021-04-28,6:10:53,120.95,23.14,4.2,12,"Taidong,Taiwan,China"
173,2021-04-28,19:43:36,90.95,34.68,3.9,7,"Tanggula,Qinghai"
174,2021-04-29,9:43:08,103.09,30.06,3.1,28,"Mingshan,Sichuan"
175,2021-04-29,17:40:31,100.32,22.57,3.1,10,"Lancang,Yunnan"
176,2021-04-29,22:32:58,121.72,21.78,4.2,15,"CoastalareanearPingdong,Taiwan,China"
177,2021-04-30,14:00:39,103.22,30.65,3.1,9,"Dayi,Sichuan"
178,2021-05-01,19:53:19,95.54,29.03,3.1,9,"Motuo,Tibet"
179,2021-05-03,19:42:39,94.16,36.62,4,10,"Golmud,Qinghai"
180,2021-05-04,5:57:16,75.7,38.35,3.2,131,"Aketao,Xinjiang"
181,2021-05-05,9:51:06,104.02,32.4,3.6,10,"Pingwu,Sichuan"
182,2021-05-05,15:54:17,78.17,40.86,3,10,"Aheqi,Xinjiang"
183,2021-05-08,5:24:16,120.85,22.66,4.3,10,"Taidong,Taiwan,China"
184,2021-05-08,10:53:51,80.81,43.36,3.2,10,"Chabuchaer,Xinjiang"
185,2021-05-08,22:07:35,83.78,41.24,3.4,10,"Kuche,Xinjiang"
186,2021-05-10,22:44:40,102.7,32.01,3.2,17,"Heishui,Sichuan"
187,2021-05-11,6:14:39,96.25,32.5,3.7,10,"Nangqian,Qinghai"
188,2021-05-12,22:37:06,85.08,37.12,4.1,10,"Qiemo,Xinjiang"
189,2021-05-13,11:42:36,99.24,24.43,4.7,8,"Shidian,Yunnan"
190,2021-05-16,15:05:25,79.72,35.71,3.1,10,"Hetian,Xinjiang"
191,2021-05-17,0:45:20,80.58,45.07,3.1,10,"Wenquan,Xinjiang"
192,2021-05-17,7:36:23,82.54,36.45,3,10,"Yutian,Xinjiang"
193,2021-05-17,12:37:26,92.69,31.91,3.6,8,"Biru,Tibet"
194,2021-05-18,18:49:30,99.93,25.65,3.2,8,"Yangbi,Yunnan"
195,2021-05-18,18:53:31,76.02,37.59,3.1,112,"Tashkurgan,Xinjiang"
196,2021-05-18,20:56:46,99.93,25.65,3,8,"Yangbi,Yunnan"
